"Name","Description"
"Dothan","Town in Israel where Joseph was sold by his brothers."
"Eglaim","A location mentioned in prophetic judgments against Moab (Isaiah 15:8) ."
"Emmaus","A village where the resurrected Jesus appeared to two of His disciples (Luke 24:13-35) ."
"Engedi","An oasis on the western shore of the Dead Sea, known as a refuge for David (1 Samuel 23:29 , 2 Chronicles 20:2) ."
"Eshean","A town in the hill country of Judah, mentioned in the tribal allotments (Joshua 15:52) ."
"Gallim","A town in Benjamin mentioned in the context of Saul’s family and the Assyrian invasion (1 Samuel 25:44 , Isaiah 10:30) ."
"Geshur","A region northeast of Israel, known for its Aramean king Talmai and his daughter Maacah, who was the mother of Absalom (2 Samuel 3:3 , 2 Samuel 13:37-38) ."
"Gibeah","A city in Benjamin, notorious for the crime that led to the near destruction of the tribe of Benjamin, and later the hometown of King Saul (Judges 19 -20, 1 Samuel 10:26) ."
"Gibeon","A significant Canaanite city whose inhabitants made a treaty with Joshua, later becoming a Levitical city (Joshua 9:3-27 , 1 Kings 3:4-5) ."
"Gilboa","A mountain range in Israel, where King Saul and his sons were killed in battle against the Philistines (1 Samuel 31:1-8 , 2 Samuel 1:6-21) ."
"Gilead","A mountainous region east of the Jordan River, known for its balm and association with several biblical figures (Genesis 31:21 , Jeremiah 8:22) ."
"Gilgal","An important location in the history of Israel, where the Israelites first camped after crossing the Jordan and where Saul was confirmed as king (Joshua 4:19-20 , 1 Samuel 11:14-15) ."
"Ginath","The father of Tibni, who contended for the throne of Israel after the death of King Zimri (1 Kings 16:21) ."
"Goshen","The region in Egypt where the Israelites settled during Joseph’s time, later becoming a place of refuge during the plagues (Genesis 45:10 , Exodus 8:22 , Joshua 10:41) ."
"Grecia","Refers to Greece, particularly in the prophetic visions in the book of Daniel."
"Greece","A region in the New Testament associated with the spread of the early church and Paul’s missionary journeys (Acts 16:9 , Acts 20:2) ."
"Hagaba","A person or family listed among the temple servants in Nehemiah."
"Halhul","A city in the hill country of Judah mentioned among the towns allotted to the tribe (Joshua 15:58) ."
"Hamath","A major city in Syria, often mentioned as a northern boundary of Israel and significant in various prophetic texts (Numbers 34:8 , 2 Kings 14:25 , Isaiah 10:9) ."
"Hammon","A Levitical city in the territory of Naphtali, listed among the cities given to the Levites (Joshua 21:32 , 1 Chronicles 6:76) ."
"Hareth","A forest in the territory of Judah where David hid from King Saul (1 Samuel 22:5) ."
"Hariph","A person listed among those who returned from exile, mentioned in Nehemiah."
"Hauran","A region east of the Jordan, mentioned in Ezekiel’s vision of the land’s borders."
"Hebron","A city in the hill country of Judah, associated with Abraham, the burial place of the patriarchs, and later David’s first capital (Genesis 13:18 , 2 Samuel 2:1-11 , Joshua 14:13-15) ."
"Helbah","A town in the territory of Asher, from which the Israelites did not expel the Canaanite inhabitants (Judges 1:31) ."
"Helbon","A city in Syria known for its wine, mentioned in the context of trade with Tyre (Ezekiel 27:18) ."
"Heleph","A person or family listed among those who returned from exile."
"Hemath","A place mentioned in the genealogies of the descendants of Judah (1 Chronicles 2:55) ."
"Hepher","A descendant of Manasseh, also the name of a town in Israel (Numbers 26:32 , 1 Kings 4:10) ."
"Hermon","A mountain on the northern border of Israel, often associated with the Transfiguration of Jesus and the source of the Jordan River (Deuteronomy 3:8-9 , Psalm 133:3 , Matthew 17:1-2) ."
"Hinnom","A valley south of Jerusalem, associated with child sacrifice in ancient times and later used as a symbol for hell (2 Kings 23:10 , Jeremiah 7:31 , Matthew 5:22) ."
"Horims","A person or place mentioned in the genealogies or lists."
"Hormah","A city in southern Canaan, originally known as Zephath, destroyed by the Israelites (Numbers 21:3 , Joshua 12:14) ."
"Hukkok","A town in the territory of Naphtali, mentioned among the towns in the tribal allotment (Joshua 19:34) ."
"Humtah","A town in the hill country of Judah, listed among the cities of the tribe (Joshua 15:54) ."
"Ibleam","A town in the territory of Manasseh, where King Ahaziah was killed by Jehu (2 Kings 9:27) ."
"Idalah","A town in the territory of Zebulun, mentioned in the tribal allotments (Joshua 19:15) ."
"Idumea","A tribe or location mentioned in biblical context."
"Irpeel","A location associated with prophetic visions or events."
"Ishtob","A person or family listed among those who returned from exile."
"Ishuah","A border or boundary described in the context of Israel’s land."
"Israel","The name given to Jacob after he wrestled with God, also the name of the nation descended from him (Genesis 32:28 , Exodus 19:3-6) ."
"Ithnan","A town in the territory of one of the tribes of Israel."
"Jaazer","A location linked with the exodus or conquest narratives."
"Jabbok","River in Jordan where Jacob wrestled with God, mentioned in Genesis."
"Jabesh","A town in Gilead, whose inhabitants were rescued by Saul from the Ammonites (1 Samuel 11:1-11 , 2 Samuel 2:4) ."
"Jabneh","A city or region involved in a significant biblical event."
"Jahaza","A person or place mentioned in the genealogies or lists."
"Jahzah","A town mentioned in the book of Joshua or Chronicles."
"Jattir","A town in the hill country of Judah, given to the priests (Joshua 15:48 , Joshua 21:14) ."
"Jearim","A significant city or region in biblical history."
"Jebusi","A station during the Israelites’ wilderness journey."
"Jeriel","A place mentioned in the context of the division of the land."
"Jeruel","A city or region involved in a significant biblical event."
"Jordan","River in Israel where John the Baptist baptized Jesus, mentioned throughout the Bible."
"Jotbah","The hometown of Meshullemeth, the mother of King Amon, mentioned in 2 Kings."
"Judaea","The Roman province where much of the New Testament events occur, including the ministry of Jesus."
"Juttah","A city in the hill country of Judah, given to the Levites, mentioned in Joshua."
"Kadesh","A city in the territory of Naphtali, also associated with Kadesh-barnea in the wilderness wanderings of Israel (Genesis 14:7 , Numbers 13:26) ."
"Karkaa","A location in the territory of Judah, mentioned in the book of Joshua."
"Karkor","A tribe or location mentioned in biblical context."
"Kartah","A town or city associated with a biblical event."
"Kartan","A mountain or region mentioned in the conquest of Canaan."
"Kedesh","A city of refuge in Naphtali, significant in the story of Barak and Deborah (Joshua 20:7 , Judges 4:6-10) ."
"Keilah","A city in Judah that David saved from the Philistines, later betrayed by its inhabitants (1 Samuel 23:1-12) ."
"Kenath","A station during the Israelites’ wilderness journey."
"Kidron","A valley on the eastern side of Jerusalem, associated with several key events in the Bible (2 Samuel 15:23 , John 18:1) ."
"Kishon","A river in northern Israel, significant in the victory of Deborah and Barak over Sisera (Judges 4:7 , 1 Kings 18:40) ."
"Kitron","A person or family listed among those who returned from exile."
"Lahmam","A region or city associated with a key biblical figure."
"Leshem","A city linked to the historical or prophetic books of the Bible."
"Libnah","A city in Judah that revolted against King Jehoram and is mentioned in several biblical battles (Joshua 10:29-32 , 2 Kings 8:22) ."
"Luhith","A place in the territory of one of the Israelite tribes."
"Lystra","A border or boundary described in the context of Israel’s land."
"Madian","A city or region involved in a significant biblical event."
"Maroth","A station during the Israelites’ wilderness journey."
"Mashal","A border or boundary described in the context of Israel’s land."
"Massah","A place mentioned in a prophecy or historical narrative."
"Mattan","The name of a priest of Baal killed by the people during Jehoiada’s reforms (2 Kings 11:18) ."
"Mearah","A location linked with the exodus or conquest narratives."
"Medeba","A place mentioned in the context of the division of the land."
"Melita","An island in the Mediterranean where Paul was shipwrecked and safely reached land (Acts 28:1) ."
"Mesech","A location associated with prophetic visions or events."
"Middin","A region or city associated with a key biblical figure."
"Midian","A location linked with the exodus or conquest narratives."
"Migdol","A location in the wilderness journey of the Israelites."
"Migron","A location mentioned in connection with the battle between Saul and the Philistines (1 Samuel 14:2) ."
"Misgab","A town or city associated with a biblical event."
"Mishal","A mountain or region mentioned in the conquest of Canaan."
"Mizpah","A city in Benjamin where the Israelites gathered to fight against the tribe of Benjamin (Judges 20:1-3 , 1 Samuel 7:5-6) ."
"Mizpeh","A station during the Israelites’ wilderness journey."
"Moriah","The region where Abraham was told to sacrifice Isaac, later the site of Solomon’s temple (Genesis 22:2 , 2 Chronicles 3:1) ."
"Mosera","A place mentioned in a prophecy or historical narrative."
"Naaran","A place mentioned in the context of the division of the land."
"Naioth","A tribe or location mentioned in biblical context."
"Nimrah","A place mentioned in the context of the division of the land."
"Nimrim","A city or region involved in a significant biblical event."
"Nineve","A location in the wilderness journey of the Israelites."
"Nophah","A town mentioned in the book of Joshua or Chronicles."
"Olivet","Another name for the Mount of Olives, a significant location in the ministry of Jesus (Luke 22:39) ."
"Ophrah","A significant city or region in biblical history."
"Paphos","A city or region involved in a significant biblical event."
"Parbar","A person or place mentioned in the genealogies or lists."
"Patara","A town or city associated with a biblical event."
"Patmos","The island where John was exiled and received the visions recorded in the Book of Revelation (Revelation 1:9) ."
"Peniel","A location associated with prophetic visions or events."
"Penuel","A place where Jacob wrestled with God and his name was changed to Israel (Genesis 32:30) ."
"Persia","A location linked with the exodus or conquest narratives."
"Pethor","A place mentioned in the context of the division of the land."
"Pisgah","A mountain in the land of Moab from which Moses viewed the Promised Land (Deuteronomy 3:27) ."
"Pithom","One of the store cities built by the Israelites in Egypt, mentioned in Exodus."
"Pontus","A region in Asia Minor, home to many early Christians, mentioned in Acts and 1 Peter."
"Rabbah","The capital of the Ammonites, captured by King David’s forces (2 Samuel 12:26-31) ."
"Rachab","Another spelling of Rahab, the Canaanite woman who hid the spies, mentioned in Matthew."
"Rachal","A town in southern Judah, mentioned in 1 Samuel as one of the places David sent spoils."
"Rakkon","A town near Joppa, in the territory of Dan, mentioned in the book of Joshua."
"Ramath","A town in the southern part of Judah, listed among the cities given to the tribe of Simeon."
"Ramoth","A town or city associated with a biblical event."
"Rechah","A place in the territory of one of the Israelite tribes."
"Remeth","A station during the Israelites’ wilderness journey."
"Remmon","A person or family listed among those who returned from exile."
"Rezeph","A place mentioned in a prophecy or historical narrative."
"Rhodes","A town in the territory of one of the tribes of Israel."
"Riblah","A region or city associated with a key biblical figure."
"Rissah","A place mentioned in the context of the division of the land."
"Salcah","A tribe or location mentioned in biblical context."
"Saphir","A station during the Israelites’ wilderness journey."
"Saraph","A person or family listed among those who returned from exile."
"Sardis","A city in Asia Minor and one of the seven churches addressed in the Book of Revelation (Revelation 3:1-6) ."
"Senaah","A town mentioned in the book of Joshua or Chronicles."
"Sephar","A town or city associated with a biblical event."
"Shalem","A border or boundary described in the context of Israel’s land."
"Shalim","A place mentioned in a prophecy or historical narrative."
"Shamir","A place mentioned in the context of the division of the land."
"Sharon","A fertile plain along the Mediterranean coast, known for its beauty (Song of Solomon 2:1 , Isaiah 35:2) ."
"Shebah","A town mentioned in the book of Joshua or Chronicles."
"Shemer","A mountain or region mentioned in the conquest of Canaan."
"Shenir","A place in the territory of one of the Israelite tribes."
"Shihor","A place mentioned in a prophecy or historical narrative."
"Shiloh","A city in the hill country of Ephraim where the Tabernacle was located before the building of the temple (Joshua 18:1) ."
"Shinar","A city or region involved in a significant biblical event."
"Shocho","A location described in the context of Israel’s geography."
"Shunem","A town or city associated with a biblical event."
"Sibmah","A town in the territory of Reuben, known for its vineyards (Numbers 32:38 , Isaiah 16:8-9) ."
"Sichem","A location associated with prophetic visions or events."
"Siddim","A station during the Israelites’ wilderness journey."
"Siloah","A place mentioned in a prophecy or historical narrative."
"Siloam","A pool in Jerusalem where Jesus healed a man born blind (John 9:7) ."
"Sirion","A person or place mentioned in the genealogies or lists."
"Smyrna","A city in Asia Minor and one of the seven churches addressed in the Book of Revelation (Revelation 2:8-11) ."
"Sodoma","A city linked to the historical or prophetic books of the Bible."
"Sychar","A place in the territory of one of the Israelite tribes."
"Sychem","A significant city or region in biblical history."
"Tadmor","A location in the wilderness journey of the Israelites."
"Tahath","A location described in the context of Israel’s geography."
"Tanach","A tribe or location mentioned in biblical context."
"Tarsus","The birthplace of the Apostle Paul, a city in Cilicia (Acts 9:11) ."
"Tekoah","Alternate spelling of Tekoa, a town in Judah, birthplace of the prophet Amos, mentioned in Chronicles."
"Tekoah","A location associated with prophetic visions or events."
"Telaim","A person or family listed among those who returned from exile."
"Temani","A location linked with the exodus or conquest narratives."
"Thebez","A city or region involved in a significant biblical event."
"Timnah","Town in the territory of Judah, mentioned in Genesis and Joshua."
"Tochen","A significant city or region in biblical history."
"Tophel","A station during the Israelites’ wilderness journey."
"Tophet","A person or family listed among those who returned from exile."
"Zaanan","A tribe or location mentioned in biblical context."
"Zaccai","A place in the territory of one of the Israelite tribes."
"Zalmon","One of David’s mighty men, also the name of a mountain near Shechem (2 Samuel 23:28 , Judges 9:48) ."
"Zanoah","A station during the Israelites’ wilderness journey."
"Zaphon","A person or family listed among those who returned from exile."
"Zareah","A border or boundary described in the context of Israel’s land."
"Zebaim","A city or region involved in a significant biblical event."
"Zeboim","A person or place mentioned in the genealogies or lists."
"Zelzah","A city linked to the historical or prophetic books of the Bible."
"Zereda","A station during the Israelites’ wilderness journey."
"Ziddim","A place mentioned in a prophecy or historical narrative."
"Ziklag","A city in the Negev given to David by the Philistine king Achish, where David lived during his time in exile (1 Samuel 27:6) ."
"Zophim","A person or place mentioned in the genealogies or lists."
"Zoreah","A town mentioned in the book of Joshua or Chronicles."
"Abdeel","Abdeel was one of the men commanded by King Jehoiakim to seize Baruch and Jeremiah."
"Abdiel","Abdiel was a leader of the tribe of Gad, a descendant of Guni."
"Abidah","Abidah was another name for Abida, a son of Midian and a grandson of Abraham by Keturah."
"Abidan","Leader of the tribe of Benjamin"
"Abihud","Abihud was a descendant of Benjamin, mentioned in the genealogy of Saul."
"Abijah","King of Judah"
"Abijam","King of Judah, son of Rehoboam"
"Abiram","Rebelled against Moses, son of Eliab"
"Abital","One of David’s wives"
"Abitub","Abitub was a descendant of Benjamin, a son of Shaharaim."
"Achbor","Father of Elnathan"
"Achish","Philistine king of Gath"
"Achsah","Daughter of Caleb"
"Adaiah","Priestly figure in the time of Hezekiah"
"Adalia","Adalia was one of the ten sons of Haman who were killed by the Jews in the time of Esther."
"Adbeel","Son of Ishmael"
"Adoram","In charge of forced labor under Rehoboam"
"Adriel","Husband of Merab, daughter of Saul"
"Aeneas","Man healed by Peter in the New Testament"
"Agabus","Prophet in the New Testament"
"Aharah","Aharah was a descendant of Benjamin, possibly another name for Ahiram."
"Ahasai","Ahasai was a priest who lived in Jerusalem after the exile."
"Ahihud","Descendant of Benjamin"
"Ahijah","Prophet during the reign of Jeroboam"
"Ahikam","Supporter of Jeremiah"
"Ahilud","Recorder under David and Solomon"
"Ahiman","One of the three sons of Anak"
"Ahiram","Ahiram was a descendant of Benjamin, mentioned in the genealogies."
"Ahitub","High priest, descendant of Eli"
"Aholah","Symbolic name in Ezekiel"
"Ahumai","Ahumai was a descendant of Judah, mentioned in the genealogies."
"Ahuzam","Ahuzam was a descendant of Judah, mentioned in the genealogies."
"Amalek","Descendant of Esau, enemy of Israel"
"Amasai","Leader of the tribe of Judah"
"Ammiel","One of the spies sent by Moses"
"Anaiah","A leader among the returned exiles"
"Anamim","Descendant of Mizraim, part of the genealogy of nations"
"Andrew","One of the twelve apostles of Jesus"
"Aphiah","Aphiah was an ancestor of King Saul, mentioned in the genealogies."
"Aphrah","Aphrah was a town in Israel, mentioned in the book of Micah."
"Aphses","Aphses was a priest in the division of Harim during the time of King David."
"Appaim","Descendant of Judah, mentioned in Chronicles"
"Apphia","Apphia was a Christian woman mentioned by Paul in his letter to Philemon."
"Aquila","Christian, husband of Priscilla, missionary with Paul"
"Aretas","Aretas was a king of Arabia who sought to capture Paul in Damascus."
"Arioch","Captain of the guard under King Nebuchadnezzar"
"Armoni","Armoni was the son of Saul and Rizpah, given to the Gibeonites for execution."
"Asahel","Nephew of David, known for his speed and bravery"
"Asaiah","Levite mentioned in Chronicles"
"Ashbea","Ashbea was a descendant of Judah, mentioned in the genealogies."
"Ashbel","Son of Benjamin, founder of a clan in Israel"
"Asriel","Descendant of Manasseh, founder of a clan in Israel"
"Asshur","Another name for Ashur, ancestor of the Assyrians"
"Atarah","Atarah was one of the wives of Jerahmeel, mentioned in the genealogies."
"Athlai","Athlai was one of those who had married foreign wives during the time of Ezra."
"Azriel","Leader of the tribe of Manasseh."
"Azubah","Wife of King Asa of Judah."
"Baalis","Baalis was the king of the Ammonites who plotted the assassination of Gedaliah."
"Baanah","One of the assassins of Ishbosheth."
"Baasha","King of Israel who overthrew the dynasty of Jeroboam."
"Bakbuk","Ancestor of a family of temple servants."
"Balaam","Prophet who was hired to curse Israel but ended up blessing them."
"Bariah","Bariah was a descendant of David, mentioned in the genealogies."
"Barkos","Ancestor of temple servants."
"Baruch","Scribe and companion of the prophet Jeremiah."
"Becher","Son of Benjamin, founder of the Becherites"
"Beerah","Beeraha was another name for Beera, a leader of the tribe of Reuben."
"Beninu","Beninu was one of the leaders who signed the covenant with Nehemiah."
"Benoni","Benoni was the original name given by Rachel to her son Benjamin, meaning ‘son of my sorrow.’"
"Beriah","Son of Asher, founder of a clan in Israel"
"Bichri","Father of Sheba, who led a rebellion against King David."
"Bidkar","Bidkar was the chariot officer of Jehu, who helped execute King Joram."
"Bigtha","Bigtha was one of the seven eunuchs who served King Ahasuerus of Persia."
"Bigvai","Leader of a group of returnees from Babylon."
"Bildad","One of Job’s friends who argued with him during his trials."
"Bilgah","Priestly family mentioned in Chronicles and Nehemiah."
"Bilgai","Bilgai was a priest who signed the covenant with Nehemiah."
"Bilhah","Rachel’s handmaid, mother of Dan and Naphtali."
"Bilhan","Descendant of Esau, mentioned in Genesis and Chronicles."
"Bimhal","Bimhal was a descendant of Asher, mentioned in the genealogies."
"Binnui","Ancestor of a family of returnees from Babylon."
"Birsha","Birsha was the king of Gomorrah who fought in the battle of the Vale of Siddim."
"Biztha","Biztha was one of the seven eunuchs who served King Ahasuerus (Xerxes) of Persia. He is mentioned in the Book of Esther as one of the officials who attended the king during his banquets."
"Caesar","Title for Roman emperors, several are mentioned in the New Testament."
"Calcol","Calcol was a wise man, a descendant of Zerah, whose wisdom was surpassed only by Solomon."
"Canaan","Descendant of Ham, ancestor of the Canaanites."
"Canneh","Canneh is mentioned in the Book of Ezekiel as one of the cities or trading centers associated with the city of Tyre. It was likely located in Mesopotamia, near Babylon."
"Carcas","Carcas was one of the seven eunuchs who served King Ahasuerus."
"Careah","Careah was the father of Johanan, who was a leader among the remnant of Judah left after the Babylonian conquest."
"Carpus","Carpus was a Christian in Troas with whom Paul left his cloak and books."
"Cephas","Aramaic name for Peter, one of the twelve apostles."
"Chelal","Chelal was one of those who had married foreign wives and was required to send them away during Ezra’s reforms."
"Chelub","Descendant of Caleb, mentioned in Chronicles."
"Cheran","Descendant of Seir, mentioned in Genesis."
"Chesed","Chesed was one of the sons of Nahor, Abraham’s brother. His name is associated with kindness or mercy."
"Coniah","Another name for Jehoiachin, king of Judah."
"Daniel","Prophet in the Old Testament, known for his faithfulness and the lion’s den."
"Darius","Name of several Persian kings, including the one who threw Daniel in the lion’s den."
"Dathan","Rebelled against Moses, mentioned in Exodus and Numbers."
"Diklah","Descendant of Joktan, mentioned in Genesis and Chronicles."
"Dishan","Descendant of Seir, mentioned in Genesis and Chronicles."
"Dishon","Descendant of Seir, brother of Dishan, mentioned in Genesis and Chronicles."
"Dorcas","Also known as Tabitha, a Christian woman known for her good works, raised from the dead by Peter."
"Eladah","Eladah was a descendant of Ephraim, mentioned in the genealogies of the tribe in 1 Chronicles."
"Elasah","Messenger sent by Jeremiah to Babylon, mentioned in the book of Jeremiah."
"Eldaah","Son of Midian, mentioned in Genesis and Chronicles."
"Eliada","Son of David, mentioned in Chronicles."
"Elidad","Elidad was a leader from the tribe of Benjamin appointed by Moses to help divide the land of Canaan among the tribes."
"Elijah","Prophet of Israel, known for his miracles and confrontation with the prophets of Baal."
"Elisha","Prophet, disciple and successor of Elijah."
"Elizur","Leader of the tribe of Reuben, mentioned in Numbers."
"Elnaam","Elnaam was the father of two of David’s mighty warriors, Jeribai and Joshaviah."
"Elpaal","Descendant of Benjamin, mentioned in Chronicles."
"Eluzai","Eluzai was one of the warriors who joined David at Ziklag when he was fleeing from Saul."
"Elymas","Elymas, also known as Bar-Jesus, was a sorcerer who opposed Paul and Barnabas during their missionary journey on the island of Cyprus."
"Ephlal","Ephlal was a descendant of Jerahmeel, mentioned in the genealogies of the tribe of Judah."
"Ephron","Hittite who sold Abraham the cave of Machpelah as a burial site for Sarah."
"Esaias","Greek form of Isaiah, used in the New Testament."
"Eshban","Descendant of Dishon, mentioned in Genesis."
"Eshcol","Valley in Hebron where the spies cut a cluster of grapes, mentioned in Numbers."
"Eshton","Descendant of Judah, mentioned in Chronicles."
"Esther","Jewish queen of Persia, known for saving her people from genocide."
"Ethnan","Ethnan was a descendant of Judah, listed in the genealogies of the tribe in 1 Chronicles."
"Eunice","Eunice was the mother of Timothy, a devout Jewish Christian who passed on her faith to her son."
"Festus","Roman governor who succeeded Felix, known for hearing Paul’s defense."
"Gabbai","Gabbai was a leader of the people of Benjamin who lived in Jerusalem after the return from the Babylonian exile."
"Gallio","Proconsul of Achaia who dismissed charges against Paul, mentioned in Acts."
